slice_file_name,fsID,start,end,salience,fold,classID,class
23131-3-2-0.wav,23131,29.690066,30.396972,2,2,3,dog_bark
36403-6-0-0.wav,36403,26.137402,26.89012,2,6,6,gun_shot
110918-3-0-40.wav,110918,20,24,1,7,3,dog_bark
22973-3-0-2.wav,22973,1.14222,5.14222,2,10,3,dog_bark
57553-3-2-0.wav,57553,13.063603,14.279479,2,1,3,dog_bark
137803-3-0-0.wav,137803,0,4,1,9,3,dog_bark
164625-1-0-0.wav,164625,0.344326,0.817351,1,9,1,car_horn
32318-3-0-0.wav,32318,0.385559,4.385559,1,3,3,dog_bark
24074-1-0-8.wav,24074,17.060993,21.060993,1,1,1,car_horn
156418-3-0-0.wav,156418,0,4,1,3,3,dog_bark
176258-3-1-18.wav,176258,78.897629,82.897629,1,1,3,dog_bark
144028-3-1-1.wav,144028,5.418658,9.418658,1,8,3,dog_bark
85662-3-0-0.wav,85662,0,1.227755,1,7,3,dog_bark
72259-1-9-14.wav,72259,231.438833,235.438833,2,5,1,car_horn
200460-6-1-0.wav,200460,3.181186,4.987279,1,10,6,gun_shot
136399-6-8-0.wav,136399,28.938274,30.488085,1,9,6,gun_shot
189846-3-0-0.wav,189846,13.241992,14.358787,2,8,3,dog_bark
171464-3-2-0.wav,171464,11.705992,13.111154,1,8,3,dog_bark
145206-6-2-0.wav,145206,2.849344,3.800877,1,8,6,gun_shot
157801-6-0-0.wav,157801,0,2.533878,1,9,6,gun_shot
175850-1-0-0.wav,175850,0.528684,2.269774,1,10,1,car_horn
174282-6-0-0.wav,174282,0,2.588937,1,9,6,gun_shot
197320-6-10-0.wav,197320,31.631818,34.262035,1,2,6,gun_shot
157207-6-3-0.wav,157207,9.504019,10.401293,1,10,6,gun_shot
187356-1-5-0.wav,187356,64.42819,67.045729,2,4,1,car_horn
160366-3-0-8.wav,160366,4,8,1,2,3,dog_bark
162433-6-8-0.wav,162433,4.347666,4.778906,1,8,6,gun_shot
155314-3-0-5.wav,155314,2.5,6.5,1,7,3,dog_bark
135527-6-9-0.wav,135527,23.471897,25.544739,2,7,6,gun_shot
7389-1-4-3.wav,7389,162.261242,166.261242,2,4,1,car_horn
180977-3-1-0.wav,180977,10.726049,14.726049,1,4,3,dog_bark
152588-3-3-0.wav,152588,19.65919,22.464192,1,9,3,dog_bark
175917-3-2-2.wav,175917,114.576188,118.576188,2,6,3,dog_bark
41372-3-0-39.wav,41372,36.892794,40.892794,2,3,3,dog_bark
110918-3-0-26.wav,110918,13,17,1,7,3,dog_bark
157649-3-0-1.wav,157649,0.812331,4.812331,2,8,3,dog_bark
150341-3-1-0.wav,150341,15.377819,15.823344,1,1,3,dog_bark
176783-3-0-11.wav,176783,5.5,9.5,1,3,3,dog_bark
100648-1-4-0.wav,100648,25.332994,27.197502,2,10,1,car_horn
35296-3-0-0.wav,35296,0.799414,1.751097,2,4,3,dog_bark
41918-3-0-0.wav,41918,0.525781,4.525781,1,4,3,dog_bark
161922-3-1-4.wav,161922,45.118484,49.118484,2,6,3,dog_bark
52171-3-6-0.wav,52171,13.041932,17.041932,2,9,3,dog_bark
58382-3-0-0.wav,58382,0.224342,4.224342,1,5,3,dog_bark
197243-3-0-0.wav,197243,0.407216,1.042196,1,5,3,dog_bark
59800-3-0-0.wav,59800,0,3.506271,1,9,3,dog_bark
30226-3-1-0.wav,30226,5.195936,9.195936,1,8,3,dog_bark
180052-3-0-4.wav,180052,2,6,1,5,3,dog_bark
4201-3-2-0.wav,4201,1.818737,2.171462,2,2,3,dog_bark
128470-3-0-5.wav,128470,4.211988,8.211988,1,10,3,dog_bark
116485-3-0-4.wav,116485,2,6,1,7,3,dog_bark
175846-1-0-0.wav,175846,0.143475,1.635387,1,4,1,car_horn
164312-3-3-0.wav,164312,22.380838,24.058202,1,1,3,dog_bark
31840-3-0-0.wav,31840,0.020035,3.546214,1,1,3,dog_bark
199769-1-0-11.wav,199769,6.348273,10.348273,1,3,1,car_horn
44110-3-1-0.wav,44110,5.517529,6.072054,1,8,3,dog_bark
118496-1-1-0.wav,118496,1.963587,2.155369,2,3,1,car_horn
160575-3-7-0.wav,160575,17.540661,18.863399,2,6,3,dog_bark
174290-6-3-0.wav,174290,14.959918,17.372318,1,1,6,gun_shot
180977-3-1-5.wav,180977,13.226049,17.226049,1,4,3,dog_bark
52102-1-0-0.wav,52102,32.140691,32.564609,2,5,1,car_horn
36902-3-2-0.wav,36902,2.286997,5.293835,1,6,3,dog_bark
197320-6-2-0.wav,197320,4.914352,7.290776,1,2,6,gun_shot
7064-6-0-0.wav,7064,0.948524,2.358256,1,4,6,gun_shot
55013-3-0-4.wav,55013,2,6,2,8,3,dog_bark
155283-1-0-0.wav,155283,95.455122,96.061195,2,8,1,car_horn
77927-3-0-1.wav,77927,29.736982,33.736982,2,10,3,dog_bark
71309-1-0-7.wav,71309,3.906025,7.906025,2,8,1,car_horn
86284-3-0-0.wav,86284,17.911702,21.911702,2,5,3,dog_bark
72259-1-9-3.wav,72259,225.938833,229.938833,2,5,1,car_horn
57105-3-4-2.wav,57105,263.540334,267.540334,2,9,3,dog_bark
159701-6-3-0.wav,159701,5.582329,7.336318,1,5,6,gun_shot
159701-6-1-0.wav,159701,1.978243,4.020558,1,5,6,gun_shot
69883-3-0-9.wav,69883,6.179208,10.179208,2,2,3,dog_bark
84317-3-0-0.wav,84317,0,2.5,1,4,3,dog_bark
9032-3-1-0.wav,9032,0.781671,1.403455,1,6,3,dog_bark
180156-1-7-0.wav,180156,23.747218,23.993486,2,9,1,car_horn
7389-1-3-1.wav,7389,96.609623,100.609623,2,4,1,car_horn
22973-3-0-0.wav,22973,0.14222,4.14222,2,10,3,dog_bark
26255-3-13-1.wav,26255,110.784129,114.784129,2,10,3,dog_bark
105088-3-0-8.wav,105088,4,8,1,9,3,dog_bark
36902-3-1-0.wav,36902,1.192238,1.99831,1,6,3,dog_bark
34771-3-0-14.wav,34771,7,11,1,5,3,dog_bark
147317-6-0-0.wav,147317,0.916114,2.20664,1,7,6,gun_shot
196127-3-0-3.wav,196127,1.5,5.5,1,10,3,dog_bark
173995-3-0-11.wav,173995,5.5,9.5,1,2,3,dog_bark
162432-6-8-0.wav,162432,21.338609,22.41437,1,5,6,gun_shot
135528-6-4-0.wav,135528,21.359911,25.359911,2,4,6,gun_shot
28808-1-0-2.wav,28808,1,5,1,10,1,car_horn
164312-3-1-0.wav,164312,6.182287,8.171162,1,1,3,dog_bark
199769-1-0-10.wav,199769,5.848273,9.848273,1,3,1,car_horn
174293-6-1-0.wav,174293,4.387686,6.713798,1,2,6,gun_shot
162432-6-3-0.wav,162432,9.93875,11.078736,1,5,6,gun_shot
65750-3-3-68.wav,65750,347.029703,351.029703,2,3,3,dog_bark
162432-6-5-0.wav,162432,16.345149,17.420911,1,5,6,gun_shot
7060-6-2-0.wav,7060,5.869655,7.4694,1,7,6,gun_shot
162434-6-0-0.wav,162434,0.354842,1.173267,1,6,6,gun_shot
157695-3-0-2.wav,157695,1,5,1,4,3,dog_bark
173993-3-0-39.wav,173993,19.5,23.5,1,5,3,dog_bark
135544-6-9-0.wav,135544,33.143316,34.584329,1,6,6,gun_shot
102842-3-0-1.wav,102842,0.5,4.5,2,1,3,dog_bark
105319-3-0-39.wav,105319,19.5,23.5,2,6,3,dog_bark
131199-3-0-0.wav,131199,0.696078,0.990196,1,5,3,dog_bark
72259-1-0-2.wav,72259,1,5,2,5,1,car_horn
162431-6-3-0.wav,162431,5.497504,6.333839,1,3,6,gun_shot
95536-3-0-1.wav,95536,0.5,4.5,2,6,3,dog_bark
171249-1-0-0.wav,171249,6.670459,7.433059,2,4,1,car_horn
162435-6-1-0.wav,162435,0.77919,1.495295,1,4,6,gun_shot
85574-3-0-12.wav,85574,6,10,2,10,3,dog_bark
51022-3-30-4.wav,51022,46.647024,50.647024,2,1,3,dog_bark
147672-3-0-0.wav,147672,0.644886,0.997283,1,2,3,dog_bark
148837-6-1-0.wav,148837,1.772279,2.959783,1,4,6,gun_shot
159703-6-0-0.wav,159703,0,1.872,1,5,6,gun_shot
65745-3-0-88.wav,65745,44,48,2,7,3,dog_bark
72259-1-10-13.wav,72259,274.749294,278.749294,2,5,1,car_horn
174284-6-1-0.wav,174284,2.549372,5.175802,1,7,6,gun_shot
151071-6-0-0.wav,151071,0.018986,1.760726,1,3,6,gun_shot
54187-1-0-4.wav,54187,2.189361,6.189361,1,9,1,car_horn
135528-6-1-0.wav,135528,10.98669,13.161721,2,4,6,gun_shot
117072-3-0-11.wav,117072,6.828188,10.828188,1,3,3,dog_bark
155311-3-0-0.wav,155311,0,3.691973,1,10,3,dog_bark
27217-3-0-13.wav,27217,6.5,10.5,1,7,3,dog_bark
175915-3-0-3.wav,175915,4.759606,8.759606,2,9,3,dog_bark
162432-6-7-0.wav,162432,19.363703,20.519745,1,5,6,gun_shot
77509-1-0-0.wav,77509,2.967344,3.557308,2,5,1,car_horn
